Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Large Office,Phoenix,1,0 kWh,0 kW,1064400,5036200,$457K,$6.65,$0M,674 kW,97372,709300
General_Service_(A14),Primary School,Duluth,1,0 kWh,0 kW,300907,519891,$1K,$14.98,$0M,2 kW,876,1235
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Restaurant,San Francisco,1,17 kWh,7 kW,155419,283560,$54K,$34.72,$0M,67 kW,31314,95538
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Small Hotel,Phoenix,1,0 kWh,0 kW,106889,589592,$0K,$6.65,$0M,0 kW,0,0
GS-2_(S)_Large_General_Service_Secondary,Fast Food,Fairbanks,1,0 kWh,0 kW,32908.5,293718,$28K,$11.06,$0M,41 kW,1147.7,61013
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Midrise Apartment,Anaheim,1,6 kWh,2 kW,118406,176985,$28K,$30.87,$0M,36 kW,11399,41923
Schedule_MDC_-_Medium_Standard_General_Service_City,Strip Mall,Seattle,1,0 kWh,0 kW,26208.2,268785,$0K,$2.32,$0M,0 kW,0,0
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Warehouse,Boulder,1,0 kWh,0 kW,114534,78289.3,$0K,$18.90,$0M,0 kW,0,0
4B_Large_Power_TOU_(PNM-Owned_Transformer),Hospital,Albuquerque,1,0 kWh,0 kW,1548470,3880950,$62K,$17.47,$0M,92 kW,25270,78440
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Supermarket,Seattle,1,0 kWh,0 kW,84094.8,1194410,$0K,$2.32,$0M,0 kW,0,0
Schedule_G_-_Secondary,Large Hotel,Baltimore,1,0 kWh,0 kW,0,2759610,$241K,$0.00,$0M,355 kW,0,487860
GSEDS-1_Primary_Demand,Midrise Apartment,Helena,1,0 kWh,0 kW,43998.1,175342,$0K,$7.90,$0M,0 kW,0,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Outpatient,Seattle,1,0 kWh,0 kW,69748.4,916557,$0K,$2.32,$0M,0 kW,0,0
General_Service_With_Demand_Meter_(Rate_Code_25),Fast Food,Minneapolis,1,0 kWh,0 kW,19237.2,135253,$0K,$5.86,$0M,0 kW,0,0
BES-Medium_Load_Delivery_Class_(Secondary),Large Office,Chicago,1,0 kWh,0 kW,1042890,3877110,$0K,$6.29,$0M,0 kW,0,0
General_Service_(A14),Large Hotel,Duluth,1,0 kWh,0 kW,608578,1181300,$0K,$14.98,$0M,0 kW,0,0
OGS-TOU-NEM,Outpatient,LasVegas,1,0 kWh,0 kW,0,1004380,$0K,$0.00,$0M,0 kW,0,0
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Fast Food,Los Angeles,1,0 kWh,0 kW,50319.9,159882,$26K,$17.48,$0M,39 kW,8253.1,52093
GS-2_(S)_Large_General_Service_Secondary,Hospital,Fairbanks,1,0 kWh,0 kW,1554790,12713300,"$1,383K",$11.06,$1M,"2,039 kW",108500,2997430
3B_General_Power_TOU_(PNM-Owned_Transformer),Warehouse,Albuquerque,1,0 kWh,0 kW,17314.1,127228,$12K,$17.47,$0M,17 kW,4772.6,16611
General_Service_With_Demand_Meter_(Rate_Code_25),Large Office,Minneapolis,1,0 kWh,0 kW,946357,4528380,$0K,$5.86,$0M,0 kW,0,0
GSEDS-1_Secondary_Non-Demand,Strip Mall,Helena,1,0 kWh,0 kW,0,524626,$98K,$0.00,$0M,144 kW,0,197037
Large_Light_&_Power_-_Primary_voltage_discount,Restaurant,Minneapolis,1,0 kWh,0 kW,0,190849,$0K,$7.55,$0M,0 kW,0,0
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Secondary School,Boulder,1,3 kWh,2 kW,1287350,784612,$16K,$18.90,$0M,20 kW,16400,9542
E-36_Standard_Price_Plan_for_General_Service,Midrise Apartment,Phoenix,1,0 kWh,0 kW,44252.8,227250,$0K,$6.76,$0M,0 kW,0,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Supermarket,New York,1,178 kWh,51 kW,1290670,1710870,$404K,$41.95,$0M,479 kW,284260,523070
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Primary School,Phoenix,1,0 kWh,0 kW,223594,930054,$89K,$6.65,$0M,131 kW,31274,136574
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Restaurant,Atlanta,1,0 kWh,0 kW,0,265670,$0K,$0.00,$0M,0 kW,0,0
SC-9_-_General_Large_Low_Tension_Service_[NYC],Secondary School,New York,1,0 kWh,0 kW,0,3122940,$406K,$21.82,$0M,598 kW,0,779700
Small_General_Service_(A-1)(A),Small Office,Los Angeles,1,0 kWh,0 kW,17925.7,97116.1,$19K,$7.48,$0M,28 kW,3717.1,39845.8
3B_General_Power_TOU_(PNM-Owned_Transformer),Retail Store,Albuquerque,1,0 kWh,0 kW,108848,290168,$49K,$17.47,$0M,72 kW,12456.1,73369
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Large Hotel,Anaheim,1,45 kWh,31 kW,820360,1938470,$318K,$16.23,$0M,418 kW,52457,595910
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Supermarket,Seattle,1,0 kWh,0 kW,84094.8,1191180,$0K,$2.32,$0M,0 kW,0,0
SC-9_-_General_Large_Low_Tension_Service_[NYC],Medium Office,New York,1,0 kWh,0 kW,0,1093940,$155K,$21.82,$0M,229 kW,0,304518
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Restaurant,Atlanta,1,0 kWh,0 kW,72590.9,192286,$0K,$15.66,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Supermarket,Anaheim,1,42 kWh,21 kW,910780,1154970,$260K,$36.38,$0M,345 kW,176485,340215
LGS-1_-_Large_General_Service,Fast Food,LasVegas,1,0 kWh,0 kW,31506.4,111681,$0K,$8.57,$0M,0 kW,0,0
A-6_Small_General_Service_TOU_Single_Phase,Large Office,San Francisco,1,"1,312 kWh",224 kW,0,13741400,"$2,333K",$0.00,$3M,"2,753 kW",0,8291340
Schedule_G_-_Secondary,Midrise Apartment,Baltimore,1,0 kWh,0 kW,0,297539,$23K,$0.00,$0M,34 kW,0,47344
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Retail Store,New York,1,53 kWh,21 kW,426074,432440,$137K,$41.95,$0M,160 kW,106155,171450
General_Service_(A14),Small Office,Duluth,1,0 kWh,0 kW,25882.6,44333.8,$0K,$14.98,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Primary School,Anaheim,1,77 kWh,27 kW,801982,805021,$251K,$38.02,$0M,314 kW,298677,316773
3B_General_Power_TOU_(PNM-Owned_Transformer),Strip Mall,Albuquerque,1,0 kWh,0 kW,105109,283997,$43K,$17.47,$0M,64 kW,11823,64275
Schedule_MDC_-_Medium_Standard_General_Service_City,Warehouse,Seattle,1,0 kWh,0 kW,12777.7,122758,$0K,$2.32,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Warehouse,Anaheim,1,14 kWh,6 kW,123807,130793,$50K,$38.02,$0M,63 kW,42338.8,60576.4
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Midrise Apartment,Anaheim,1,4 kWh,2 kW,71504.3,228402,$34K,$13.20,$0M,47 kW,5828.8,73042
BES-Medium_Load_Delivery_Class_(Secondary),Midrise Apartment,Chicago,1,0 kWh,0 kW,38099.2,161657,$0K,$6.29,$0M,0 kW,0,0
GS-2_(S)_Large_General_Service_Secondary,Small Office,Fairbanks,1,0 kWh,0 kW,23232.1,139393,$17K,$11.06,$0M,25 kW,2027.8,33711
