Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),kWh Savings ($),$16.23,2419316.75
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),kWh Savings ($),$38.02,270269.091666667
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),kWh Savings ($),$15.57,2977387
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),kWh Savings ($),$36.38,426092.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),kWh Savings ($),$11.05,742679
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),kWh Savings ($),$34.91,504738.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),kWh Savings ($),$17.81,659861.5
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,kWh Savings ($),$9.97,207711.1375
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,kWh Savings ($),$30.87,127624.0625
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,kWh Savings ($),$13.20,187380.25
Small_General_Time-of-Day_Service_(A12),kWh Savings ($),$0.00,33938.3
Small_General_Service_Time-Of-Use_(A-1)(B),kWh Savings ($),$7.48,67470.5
Small_General_Service_Metered_(A10),kWh Savings ($),$0.00,437095.0375
Small_General_Service_(A-1)(A),kWh Savings ($),$7.48,46109.3
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,kWh Savings ($),$4.84,201335.75
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,kWh Savings ($),$18.90,19086.20625
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,kWh Savings ($),$15.66,43953.15
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,kWh Savings ($),$0.00,269595.675
Schedule_SMC_-_Small_General_Service_City,kWh Savings ($),$0.00,0
Schedule_P,kWh Savings ($),$5.31,896000
Schedule_MDT-Medium_Standard_General_Service_Tukwila,kWh Savings ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,kWh Savings ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,kWh Savings ($),$4.54,26920.833333333
Schedule_MDC_-_Medium_Standard_General_Service_City,kWh Savings ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,kWh Savings ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),kWh Savings ($),$3.83,57510
Schedule_LGC_-_Large_Standard_General_Service_City,kWh Savings ($),$2.08,0
Schedule_GS_Type_2_(Secondary),kWh Savings ($),$0.00,36635.65
Schedule_GL_(Secondary_Voltage),kWh Savings ($),$6.15,193902
Schedule_G_-_Secondary,kWh Savings ($),$0.00,651992.55
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],kWh Savings ($),$41.95,764703.66875
SC-9_-_General_Large_TOD_Service_[NYC],kWh Savings ($),$54.31,3169935
SC-9_-_General_Large_Low_Tension_Service_[NYC],kWh Savings ($),$21.82,371135.2
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),kWh Savings ($),$17.48,815005.906666667
Power_and_Light_Medium_Schedule_PLM-11,kWh Savings ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,kWh Savings ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,kWh Savings ($),$12.47,348345.9
OGS-TOU-NEM,kWh Savings ($),$0.00,293287.06875
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),kWh Savings ($),$16.30,859200
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,kWh Savings ($),$16.49,226670.4
LGS-1_-_Large_General_Service,kWh Savings ($),$8.57,312650.89375
Large_Light_&_Power_-_Primary_voltage_discount,kWh Savings ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),kWh Savings ($),$12.56,75880
GSEDS-1_Secondary_Non-Demand,kWh Savings ($),$0.00,585656.04375
GSEDS-1_Secondary_Demand,kWh Savings ($),$9.41,317384.19375
GSEDS-1_Primary_Non-Demand,kWh Savings ($),$0.00,464998.7
GSEDS-1_Primary_Demand,kWh Savings ($),$7.90,292025.025
GSDT-1_(General_Service_Demand_-Time-Of-Use),kWh Savings ($),$9.20,21326.175
GSD-1_(General_Service_Demand),kWh Savings ($),$10.60,22111.15
GS-2_(S)_Large_General_Service_Secondary,kWh Savings ($),$11.06,815449.09375
GS-1_General_Service,kWh Savings ($),$0.00,54050.45
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),kWh Savings ($),$11.00,105763.333333333
General_Service_With_Demand_Meter_(Rate_Code_25),kWh Savings ($),$5.86,286212.63125
General_Service_(A14),kWh Savings ($),$14.98,27098.542857143
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,kWh Savings ($),$4.12,1156845
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,kWh Savings ($),$4.16,1220335
E-36_Standard_Price_Plan_for_General_Service,kWh Savings ($),$6.76,391753.15625
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,kWh Savings ($),$6.65,492385.25
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),kWh Savings ($),$33.72,2879749.66666667
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),kWh Savings ($),$17.58,1241160
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),kWh Savings ($),$17.58,483080.95
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),kWh Savings ($),$34.72,357399.033333333
BES-Small_Load_Delivery_Class_(Secondary),kWh Savings ($),$6.18,44952.125
BES-Medium_Load_Delivery_Class_(Secondary),kWh Savings ($),$6.29,47636.75625
BES-Large_Load_Delivery_Class_(Secondary),kWh Savings ($),$6.73,50052.33125
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),kWh Savings ($),$16.78,476261
A-10_Medium_General_Demand_Service_(Secondary_Voltage),kWh Savings ($),$16.78,463406.275
A-6_Small_General_Service_TOU_Single_Phase,kWh Savings ($),$0.00,2652051.8625
