midpoint_data
Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),kWh Savings ($),$16.23,2072950
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),kWh Savings ($),$38.02,225633.075
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),kWh Savings ($),$15.57,2611630
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),kWh Savings ($),$36.38,359686.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),kWh Savings ($),$11.05,644694.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),kWh Savings ($),$34.91,426468.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),kWh Savings ($),$17.81,580171.5
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,kWh Savings ($),$9.97,175876.425
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,kWh Savings ($),$30.87,106146.55
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,kWh Savings ($),$13.20,160953.075
Small_General_Time-of-Day_Service_(A12),kWh Savings ($),$0.00,32233.3
Small_General_Service_Time-Of-Use_(A-1)(B),kWh Savings ($),$7.48,51501.6
Small_General_Service_Metered_(A10),kWh Savings ($),$0.00,384629.0125
Small_General_Service_(A-1)(A),kWh Savings ($),$7.48,42244.3
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,kWh Savings ($),$4.84,189346.875
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,kWh Savings ($),$18.90,8244.44375
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,kWh Savings ($),$15.66,19132.4125
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,kWh Savings ($),$0.00,-0.125
Schedule_SMC_-_Small_General_Service_City,kWh Savings ($),$0.00,0
Schedule_P,kWh Savings ($),$5.31,188940
Schedule_MDT-Medium_Standard_General_Service_Tukwila,kWh Savings ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,kWh Savings ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,kWh Savings ($),$4.54,0
Schedule_MDC_-_Medium_Standard_General_Service_City,kWh Savings ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,kWh Savings ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),kWh Savings ($),$3.83,0
Schedule_LGC_-_Large_Standard_General_Service_City,kWh Savings ($),$2.08,0
Schedule_GS_Type_2_(Secondary),kWh Savings ($),$0.00,33511.85
Schedule_GL_(Secondary_Voltage),kWh Savings ($),$6.15,148099.083333333
Schedule_G_-_Secondary,kWh Savings ($),$0.00,608138.1375
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],kWh Savings ($),$41.95,562795.18125
SC-9_-_General_Large_TOD_Service_[NYC],kWh Savings ($),$54.31,2295480
SC-9_-_General_Large_Low_Tension_Service_[NYC],kWh Savings ($),$21.82,347946.75
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),kWh Savings ($),$17.48,658755.06
Power_and_Light_Medium_Schedule_PLM-11,kWh Savings ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,kWh Savings ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,kWh Savings ($),$12.47,277618.65625
OGS-TOU-NEM,kWh Savings ($),$0.00,148698.8625
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),kWh Savings ($),$16.30,610133.333333333
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,kWh Savings ($),$16.49,122736.2
LGS-1_-_Large_General_Service,kWh Savings ($),$8.57,234666.41875
Large_Light_&_Power_-_Primary_voltage_discount,kWh Savings ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),kWh Savings ($),$12.56,39440
GSEDS-1_Secondary_Non-Demand,kWh Savings ($),$0.00,554394.71875
