Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Hospital,Los Angeles,1,263 kWh,119 kW,2284920,7236560,"$1,291K",$17.48,$1M,"2,114 kW",513700,2731480
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Supermarket,Seattle,1,0 kWh,0 kW,84094.8,1194410,$0K,$2.32,$0M,0 kW,0,0
BES-Large_Load_Delivery_Class_(Secondary),Hospital,Chicago,1,0 kWh,0 kW,1025220,5216790,$0K,$6.73,$0M,0 kW,0,0
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Restaurant,Los Angeles,1,9 kWh,4 kW,97555.1,298486,$48K,$17.48,$0M,80 kW,22243.2,105042
General_Service_With_Demand_Meter_(Rate_Code_25),Restaurant,Minneapolis,1,0 kWh,0 kW,34934.7,237610,$28K,$5.86,$0M,50 kW,1039,47135
SC-9_-_General_Large_Low_Tension_Service_[NYC],Restaurant,New York,1,0 kWh,0 kW,0,395597,$45K,$21.82,$0M,82 kW,0,114328
BES-Medium_Load_Delivery_Class_(Secondary),Midrise Apartment,Chicago,1,0 kWh,0 kW,38099.2,161657,$0K,$6.29,$0M,0 kW,0,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Restaurant,New York,1,36 kWh,11 kW,202690,289750,$59K,$41.95,$0M,81 kW,37692,86126
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Medium Office,Los Angeles,1,35 kWh,17 kW,344496,736716,$173K,$17.48,$0M,282 kW,105166,326100
Schedule_MDB-_Medium_Standard_General_Service_Burien,Large Hotel,Seattle,1,0 kWh,0 kW,110902,1366060,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Secondary School,Seattle,1,0 kWh,0 kW,147362,1458990,$0K,$2.32,$0M,0 kW,0,0
LGS-1_-_Large_General_Service,Hospital,LasVegas,1,0 kWh,0 kW,1359410,4836860,$776K,$8.57,$0M,"1,412 kW",96570,1286440
General_Service_(A14),Primary School,Duluth,1,0 kWh,0 kW,300907,519891,$22K,$14.98,$0M,40 kW,12853,27101
Schedule_MDC_-_Medium_Standard_General_Service_City,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,405061,$0K,$2.32,$0M,0 kW,0,0
LGS-1_-_Large_General_Service,Strip Mall,LasVegas,1,0 kWh,0 kW,121617,293090,$62K,$8.57,$0M,112 kW,10486,100527
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Strip Mall,San Francisco,1,129 kWh,27 kW,326085,429916,$146K,$34.72,$0M,187 kW,139272,252938
LGS-1_-_Large_General_Service,Small Office,LasVegas,1,0 kWh,0 kW,21832.6,51667.4,$7K,$8.57,$0M,12 kW,2289.8,10529.9
Small_General_Service_Metered_(A10),Primary School,Duluth,1,0 kWh,0 kW,0,922888,$91K,$0.00,$0M,166 kW,0,178423
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Midrise Apartment,Boulder,1,0 kWh,0 kW,97721.6,82082.5,$0K,$18.90,$0M,0 kW,359.9,9.5
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Retail Store,Boulder,1,0 kWh,0 kW,61256.3,425922,$78K,$4.84,$0M,142 kW,5736.4,175799
GSDT-1_(General_Service_Demand_-Time-Of-Use),Restaurant,Miami,1,0 kWh,0 kW,84372.5,199877,$0K,$9.20,$0M,0 kW,0,0
GSEDS-1_Primary_Non-Demand,Hospital,Helena,1,0 kWh,0 kW,0,7174430,$993K,$0.00,$0M,"1,805 kW",0,2091350
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Outpatient,Atlanta,1,0 kWh,0 kW,374541,900645,$9K,$15.66,$0M,16 kW,4579,10398
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Medium Office,LasVegas,1,0 kWh,0 kW,218420,572989,$96K,$12.47,$0M,174 kW,28898,152042
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Midrise Apartment,San Francisco,1,72 kWh,15 kW,138473,204225,$54K,$34.72,$0M,54 kW,47774.8,73499
General_Service_(A14),Midrise Apartment,Duluth,1,0 kWh,0 kW,69732.1,135717,$0K,$14.98,$0M,0 kW,0,0
Schedule_SMC_-_Small_General_Service_City,Small Office,Seattle,1,0 kWh,0 kW,0,58454.4,$0K,$0.00,$0M,0 kW,0,0
Large_Light_&_Power_-_Primary_voltage_discount,Primary School,Minneapolis,1,0 kWh,0 kW,0,589796,$0K,$7.55,$0M,0 kW,0,0
Schedule_MDC_-_Medium_Standard_General_Service_City,Warehouse,Seattle,1,0 kWh,0 kW,12777.7,122758,$0K,$2.32,$0M,0 kW,0,0
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,Hospital,Phoenix,1,0 kWh,0 kW,446054,4863880,$193K,$4.12,$0M,351 kW,19557,306860
Schedule_GL_(Secondary_Voltage),Small Hotel,Baltimore,1,0 kWh,0 kW,97976.8,559441,$49K,$6.15,$0M,88 kW,0,85191
GSEDS-1_Primary_Non-Demand,Small Office,Helena,1,0 kWh,0 kW,0,74879.9,$9K,$0.00,$0M,17 kW,0,17937.7
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Small Hotel,San Francisco,1,182 kWh,42 kW,383824,618162,$154K,$34.72,$0M,165 kW,126381,225199
E-36_Standard_Price_Plan_for_General_Service,Retail Store,Phoenix,1,0 kWh,0 kW,77684.5,356710,$78K,$6.76,$0M,142 kW,11779.1,140805
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Warehouse,Seattle,1,0 kWh,0 kW,12777.7,134034,$0K,$2.32,$0M,0 kW,0,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Midrise Apartment,New York,1,91 kWh,19 kW,226778,231554,$65K,$41.95,$0M,63 kW,61836,64908
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Small Hotel,Phoenix,1,0 kWh,0 kW,106889,589592,$71K,$6.65,$0M,130 kW,1189,135245
GSEDS-1_Secondary_Demand,Small Office,Helena,1,0 kWh,0 kW,19879.5,59710.2,$5K,$9.41,$0M,10 kW,1672.5,8572.7
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Small Hotel,Atlanta,1,0 kWh,0 kW,167545,427322,$0K,$15.66,$0M,0 kW,0,0
GSEDS-1_Primary_Demand,Warehouse,Helena,1,0 kWh,0 kW,53491.5,175060,$13K,$7.90,$0M,23 kW,2865.7,20249
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Fast Food,New York,1,27 kWh,7 kW,110714,163422,$36K,$41.95,$0M,48 kW,25261.1,50762
OGS-TOU-NEM,Primary School,LasVegas,1,0 kWh,0 kW,0,757581,$38K,$0.00,$0M,69 kW,0,62805
LGS-1_-_Large_General_Service,Secondary School,LasVegas,1,0 kWh,0 kW,835724,1675160,$209K,$8.57,$0M,380 kW,83636,323320
