Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),kWh Savings ($),$16.23,2680804.5
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),kWh Savings ($),$38.02,323310.125
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),kWh Savings ($),$15.57,3333423.5
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),kWh Savings ($),$36.38,505054.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),kWh Savings ($),$11.05,833298.25
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),kWh Savings ($),$34.91,607465
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),kWh Savings ($),$17.81,735934
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,kWh Savings ($),$9.97,239041.95
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,kWh Savings ($),$30.87,153582.3875
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,kWh Savings ($),$13.20,212406.925
Small_General_Time-of-Day_Service_(A12),kWh Savings ($),$0.00,34806.1
Small_General_Service_Time-Of-Use_(A-1)(B),kWh Savings ($),$7.48,80022.1
Small_General_Service_Metered_(A10),kWh Savings ($),$0.00,456078.275
Small_General_Service_(A-1)(A),kWh Savings ($),$7.48,68363.2
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,kWh Savings ($),$4.84,217899.333333333
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,kWh Savings ($),$18.90,37465.43125
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,kWh Savings ($),$15.66,123618.6125
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,kWh Savings ($),$0.00,319192.8375
Schedule_SMC_-_Small_General_Service_City,kWh Savings ($),$0.00,13339.7
Schedule_P,kWh Savings ($),$5.31,1140315
Schedule_MDT-Medium_Standard_General_Service_Tukwila,kWh Savings ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,kWh Savings ($),$2.32,0
