Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Large Hotel,LasVegas,1,0 kWh,0 kW,547920,1362130,$142K,$16.49,$0M,320 kW,904,265840
2A_(Small_Power_Service),Small Office,Albuquerque,1,0 kWh,0 kW,0,89940.7,$14K,$0.00,$0M,30 kW,0,39972.4
BES-Medium_Load_Delivery_Class_(Secondary),Hospital,Chicago,1,0 kWh,0 kW,958188,5216790,$574K,$6.29,$0M,"1,287 kW",50744,965060
Power_and_Light_Medium_Schedule_PLM-11,Fast Food,Atlanta,1,0 kWh,0 kW,0,85605.1,$0K,$0.00,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Large Hotel,Anaheim,1,"1,307 kWh",204 kW,787000,2151870,$549K,$15.57,$0M,777 kW,318052,1189796
E-36_Standard_Price_Plan_for_General_Service,Hospital,Phoenix,1,0 kWh,0 kW,794574,5564950,$882K,$6.76,$0M,"1,978 kW",81293,1920880
General_Service_With_Demand_Meter_(Rate_Code_25),Small Office,Minneapolis,1,0 kWh,0 kW,12717.7,61686.8,$8K,$5.86,$0M,18 kW,1295.4,14739.6
GSEDS-1_Secondary_Demand,Medium Office,Helena,1,79 kWh,38 kW,282284,659853,$130K,$9.41,$0M,238 kW,54911,201042
GSEDS-1_Primary_Non-Demand,Fast Food,Helena,1,0 kWh,0 kW,0,165276,$19K,$0.00,$0M,42 kW,0,48395
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Large Hotel,Seattle,1,0 kWh,0 kW,110902,1410070,$0K,$2.32,$0M,0 kW,0,0
Large_Light_&_Power_-_Primary_voltage_discount,Primary School,Minneapolis,1,0 kWh,0 kW,0,589796,$29K,$7.55,$0M,65 kW,0,49224
Schedule_MDB-_Medium_Standard_General_Service_Burien,Primary School,Seattle,1,0 kWh,0 kW,58053.5,607265,$0K,$2.32,$0M,0 kW,0,0
A-6_Small_General_Service_TOU_Single_Phase,Small Office,San Francisco,1,95 kWh,12 kW,0,173289,$37K,$0.00,$0M,53 kW,0,144009.3
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Outpatient,Atlanta,1,0 kWh,0 kW,0,1236820,$158K,$0.00,$0M,355 kW,0,303062
GSEDS-1_Primary_Non-Demand,Strip Mall,Helena,1,0 kWh,0 kW,0,447689,$74K,$0.00,$0M,165 kW,0,186325
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Strip Mall,Anaheim,1,380 kWh,57 kW,278697,371964,$171K,$30.87,$0M,254 kW,179868.7,275766.8
Large_Light_&_Power_-_Primary_voltage_discount,Fast Food,Minneapolis,1,0 kWh,0 kW,0,108636,$12K,$7.55,$0M,26 kW,0,19623.2
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Primary School,Boulder,1,12 kWh,2 kW,134703,873673,$133K,$4.84,$0M,293 kW,21250,305778
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Outpatient,Boulder,1,79 kWh,16 kW,171829,1419640,$209K,$4.84,$0M,439 kW,23831,517524
GSEDS-1_Primary_Demand,Small Hotel,Helena,1,6 kWh,5 kW,119920,506470,$50K,$7.90,$0M,106 kW,3836,98538
BES-Small_Load_Delivery_Class_(Secondary),Restaurant,Chicago,1,0 kWh,0 kW,37382.7,203169,$23K,$6.18,$0M,51 kW,1549.5,37981
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Fast Food,San Francisco,1,169 kWh,21 kW,87751,164109,$59K,$34.72,$0M,79 kW,50080.5,100693.7
GSEDS-1_Secondary_Demand,Primary School,Helena,1,48 kWh,19 kW,240096,705132,$119K,$9.41,$0M,239 kW,55783,199012
GSD-1_(General_Service_Demand),Small Office,Miami,1,3 kWh,2 kW,30077.7,48173,$5K,$10.60,$0M,9 kW,4077.3,5316
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,442267,$0K,$2.32,$0M,0 kW,0,0
GSEDS-1_Primary_Non-Demand,Warehouse,Helena,1,0 kWh,0 kW,0,224295,$36K,$0.00,$0M,80 kW,0,76707
OGS-TOU-NEM,Strip Mall,LasVegas,1,0 kWh,0 kW,0,347574,$62K,$0.00,$0M,139 kW,0,122968
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Small Hotel,Anaheim,1,560 kWh,84 kW,362114,511264,$206K,$38.02,$0M,272 kW,201559,279402
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Medium Office,LasVegas,1,34 kWh,16 kW,269771,480444,$114K,$16.49,$0M,234 kW,65586,175673
Schedule_GL_(Secondary_Voltage),Primary School,Baltimore,1,0 kWh,0 kW,186940,791190,$114K,$6.15,$0M,256 kW,30213,213562
Schedule_GL_(Secondary_Voltage),Warehouse,Baltimore,1,0 kWh,0 kW,40094.4,168337,$26K,$6.15,$0M,58 kW,3959.5,47265
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Retail Store,San Francisco,1,451 kWh,63 kW,150935,586117,$185K,$16.78,$0M,266 kW,98220.3,467969
GSEDS-1_Primary_Demand,Strip Mall,Helena,1,4 kWh,3 kW,96703.3,349417,$68K,$7.90,$0M,148 kW,13665.3,135001
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Large Office,Atlanta,1,239 kWh,109 kW,1894340,3955800,$392K,$15.66,$0M,721 kW,230480,483710
4B_Large_Power_TOU_(PNM-Owned_Transformer),Large Hotel,Albuquerque,1,0 kWh,0 kW,34434.4,1073900,$124K,$17.47,$0M,279 kW,0,236894
BES-Medium_Load_Delivery_Class_(Secondary),Fast Food,Chicago,1,0 kWh,0 kW,20981.7,115436,$13K,$6.29,$0M,28 kW,774.2,21295.1
General_Service_With_Demand_Meter_(Rate_Code_25),Secondary School,Minneapolis,1,0 kWh,0 kW,447527,1794100,$257K,$5.86,$0M,576 kW,61648,457460
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Warehouse,Anaheim,1,154 kWh,22 kW,123807,130793,$65K,$38.02,$0M,94 kW,86909.9,90214.5
BES-Large_Load_Delivery_Class_(Secondary),Secondary School,Chicago,1,0 kWh,0 kW,560689,1563540,$90K,$6.73,$0M,203 kW,32422,149330
GSEDS-1_Secondary_Non-Demand,Midrise Apartment,Helena,1,0 kWh,0 kW,0,263264,$21K,$0.00,$0M,47 kW,0,58217
E-36_Standard_Price_Plan_for_General_Service,Supermarket,Phoenix,1,0 kWh,0 kW,200579,1234930,$215K,$6.76,$0M,482 kW,23362,472401
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Warehouse,LasVegas,1,77 kWh,18 kW,56061.6,138782,$53K,$12.47,$0M,85 kW,26926.4,77646.4
E-36_Standard_Price_Plan_for_General_Service,Primary School,Phoenix,1,0 kWh,0 kW,186831,774212,$140K,$6.76,$0M,314 kW,40609,267559
BES-Small_Load_Delivery_Class_(Secondary),Fast Food,Chicago,1,0 kWh,0 kW,20614.8,115436,$13K,$6.18,$0M,28 kW,760.7,21295.1
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Warehouse,San Francisco,1,195 kWh,23 kW,63818.6,237498,$76K,$16.78,$0M,112 kW,43145,175364
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Secondary School,Anaheim,1,"1,787 kWh",258 kW,1337380,2695240,$870K,$15.57,$1M,"1,353 kW",734136,1995958
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Small Hotel,LasVegas,1,137 kWh,23 kW,121299,460547,$91K,$12.47,$0M,156 kW,16526,156555
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Hospital,LasVegas,1,369 kWh,184 kW,1662760,4159200,$938K,$16.30,$0M,"1,843 kW",415410,1455220
3B_General_Power_TOU_(PNM-Owned_Transformer),Supermarket,Albuquerque,1,336 kWh,83 kW,462980,1058160,$301K,$17.47,$0M,526 kW,163585,521166
3B_General_Power_TOU_(PNM-Owned_Transformer),Large Hotel,Albuquerque,1,818 kWh,233 kW,638342,1224780,$407K,$17.47,$0M,517 kW,327369,507006
A-6_Small_General_Service_TOU_Single_Phase,Strip Mall,San Francisco,1,489 kWh,66 kW,0,1016670,$200K,$0.00,$0M,291 kW,0,860760
GSD-1_(General_Service_Demand),Retail Store,Miami,1,9 kWh,5 kW,171593,282573,$36K,$10.60,$0M,75 kW,19444,46109
OGS-TOU-NEM,Primary School,LasVegas,1,0 kWh,0 kW,0,757581,$111K,$0.00,$0M,248 kW,0,207511
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Hospital,LasVegas,1,"1,442 kWh",288 kW,1156200,4863610,"$1,241K",$12.47,$0M,"2,216 kW",354583,2169620
GSEDS-1_Secondary_Non-Demand,Small Hotel,Helena,1,0 kWh,0 kW,0,760431,$61K,$0.00,$0M,137 kW,0,175351
Schedule_MDB-_Medium_Standard_General_Service_Burien,Restaurant,Seattle,1,0 kWh,0 kW,12731.1,196808,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,291326,$0K,$2.32,$0M,0 kW,0,0
Small_General_Service_Metered_(A10),Secondary School,Duluth,1,0 kWh,0 kW,0,2196360,$285K,$0.00,$0M,638 kW,0,623850
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Retail Store,San Francisco,1,467 kWh,64 kW,150935,569885,$189K,$16.78,$0M,272 kW,99822.6,453220
SC-9_-_General_Large_Low_Tension_Service_[NYC],Medium Office,New York,1,0 kWh,0 kW,0,1093940,$142K,$21.82,$0M,319 kW,0,388324
General_Service_With_Demand_Meter_(Rate_Code_25),Midrise Apartment,Minneapolis,1,0 kWh,0 kW,36661.7,191989,$15K,$5.86,$0M,33 kW,542.5,30357
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Secondary School,Miami,1,310 kWh,95 kW,1554860,1726750,$277K,$11.00,$0M,466 kW,291180,264440
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Hospital,Seattle,1,0 kWh,0 kW,538955,5396450,$507K,$3.83,$0M,"1,137 kW",25999,852640
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Small Office,Phoenix,1,37 kWh,6 kW,16675.8,73228.3,$23K,$6.65,$0M,39 kW,8181.2,40941.6
GS-1_General_Service,Fast Food,Fairbanks,1,0 kWh,0 kW,0,288195,$24K,$0.00,$0M,54 kW,0,71161
GSEDS-1_Primary_Non-Demand,Small Hotel,Helena,1,0 kWh,0 kW,0,648913,$56K,$0.00,$0M,125 kW,0,141571
Schedule_MDB-_Medium_Standard_General_Service_Burien,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,281470,$0K,$2.32,$0M,0 kW,0,0
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Strip Mall,Los Angeles,1,390 kWh,60 kW,201849,429969,$177K,$17.48,$0M,263 kW,145777.2,324196
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Warehouse,Anaheim,1,97 kWh,16 kW,63099.4,174820,$55K,$13.20,$0M,89 kW,30850.4,124242.4
Power_and_Light_Medium_Schedule_PLM-11,Midrise Apartment,Atlanta,1,0 kWh,0 kW,0,123703,$0K,$0.00,$0M,0 kW,0,0
Schedule_G_-_Secondary,Secondary School,Baltimore,1,0 kWh,0 kW,0,2939660,$396K,$0.00,$0M,888 kW,0,987860
Schedule_MDB-_Medium_Standard_General_Service_Burien,Supermarket,Seattle,1,0 kWh,0 kW,84094.8,1154010,$0K,$2.32,$0M,0 kW,0,0
GSDT-1_(General_Service_Demand_-Time-Of-Use),Strip Mall,Miami,1,44 kWh,15 kW,179316,310914,$49K,$9.20,$0M,87 kW,37867,54922
SC-9_-_General_Large_Low_Tension_Service_[NYC],Small Hotel,New York,1,0 kWh,0 kW,0,888102,$75K,$21.82,$0M,169 kW,0,219732
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Strip Mall,New York,1,744 kWh,90 kW,420783,427744,$260K,$41.95,$0M,354 kW,307450,335787.4
GSEDS-1_Primary_Non-Demand,Midrise Apartment,Helena,1,0 kWh,0 kW,0,224656,$18K,$0.00,$0M,40 kW,0,45395
GSDT-1_(General_Service_Demand_-Time-Of-Use),Primary School,Miami,1,107 kWh,38 kW,429874,668922,$110K,$9.20,$0M,188 kW,98419,118966
GS-2_(S)_Large_General_Service_Secondary,Restaurant,Fairbanks,1,79 kWh,13 kW,57532.3,506590,$64K,$11.06,$0M,116 kW,13620.5,155573
Large_Light_&_Power_-_Primary_voltage_discount,Medium Office,Minneapolis,1,0 kWh,0 kW,0,580114,$11K,$7.55,$0M,25 kW,0,18974
Power_and_Light_Medium_Schedule_PLM-11,Strip Mall,Atlanta,1,0 kWh,0 kW,0,229645,$0K,$0.00,$0M,0 kW,0,0
GSEDS-1_Primary_Non-Demand,Primary School,Helena,1,0 kWh,0 kW,0,884274,$124K,$0.00,$0M,277 kW,0,275541
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,290537,$0K,$2.32,$0M,0 kW,0,0
GSEDS-1_Primary_Demand,Fast Food,Helena,1,0 kWh,0 kW,24997.6,128997,$17K,$7.90,$0M,37 kW,1133.6,34502.1
A-6_Small_General_Service_TOU_Single_Phase,Large Office,San Francisco,1,"7,466 kWh",946 kW,0,13741400,"$2,906K",$0.00,$4M,"4,159 kW",0,11650990
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Strip Mall,San Francisco,1,483 kWh,66 kW,152863,578552,$193K,$16.78,$0M,275 kW,104466.4,458039
Schedule_GL_(Secondary_Voltage),Supermarket,Baltimore,1,0 kWh,0 kW,251186,1479440,$217K,$6.15,$0M,488 kW,28994,455020
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Primary School,Seattle,1,0 kWh,0 kW,58053.5,626827,$0K,$2.32,$0M,0 kW,0,0
